"In Visual Basic, what is the purpose of the `ReDim Preserve` statement?",It re-sizes an array while keeping its existing data intact.
"In statistical analysis for grading patterns, what does the standard deviation ($\sigma$) measure?",It measures the amount of variation or dispersion of a set of values from the mean (average).
What is the primary role of the QCTO in the South African education system?,The Quality Council for Trades and Occupations is responsible for the quality assurance of trade and occupational qualifications.
What is the function of a capacitor in a power supply's filter circuit?,"It smooths the pulsating DC output from the rectifier by storing charge and releasing it, reducing ripple voltage."
What is the formula to calculate the power factor in an AC circuit?,Power Factor = $\frac{\text{True Power}}{\text{Apparent Power}}$ or $\cos(\phi)$.
"In the context of the NATED curriculum, what is Electrical Trade Theory?","It is a subject that covers the theoretical principles behind electrical installations, components, and systems for artisans."
What is the primary advantage of a digital intake form over a paper one?,"Efficiency, as data can be completed, submitted, and stored instantly, enabling quick access and analysis."
"In Boolean algebra, the expression $A + (B \cdot \overline{B})$ simplifies to what?","It simplifies to A, because $B \cdot \overline{B}$ equals 0."
A _____ is a semiconductor device that allows current to flow in only one direction.,diode
What is the purpose of the 5S Methodology in lean manufacturing?,"It is a system to reduce waste and optimize productivity through maintaining an orderly workplace (Sort, Set in order, Shine, Standardize, Sustain)."
What does a measurement of infinite resistance (infinity ?) between two points in a circuit indicate?,An open circuit.
What is the purpose of flux when soldering electronic components?,"It cleans the metal surfaces to be soldered, removing oxidation and allowing the solder to flow smoothly and form a strong bond."
"In a UPS (Uninterruptible Power Supply), what does the 'changeover time' specify?",It specifies the duration it takes for the UPS to switch from mains power to its internal battery power during an outage.
What is the primary function of a transformer in an electrical power system?,"To change AC voltage levels, either stepping them up for transmission or stepping them down for distribution and use."
What is the purpose of a thermistor in an electronic circuit?,"It is a resistor whose resistance changes significantly with temperature, used for temperature sensing and control."
"In South Africa's vocational education, what does NCV stand for?",National Certificate (Vocational).
What is the Shannon-Hartley theorem used to calculate?,It calculates the maximum rate at which information can be transmitted over a communication channel of a specified bandwidth in the presence of noise.
What is the key difference between supervised and unsupervised machine learning?,"Supervised learning uses labeled data to train models, while unsupervised learning works with unlabeled data to find patterns or structures."
"In RF communications, what is a link budget analysis used for?",It is a calculation involving all gains and losses of a communication signal to predict the signal strength at the receiver.
What is the role of the South African institution MERSETA?,"It is the Sector Education and Training Authority (SETA) for Manufacturing, Engineering and Related Services."
"The formula $P = \frac{(0.5/60) \cdot 2 \times 10^6}{0.85} \approx 19.6\,\text{kW}$ is used to calculate the power output of what type of device?",A hydraulic pump.
What is the purpose of an operational amplifier (op-amp)?,"It is a high-gain voltage amplifier with a differential input, used in a variety of analog signal processing circuits like amplifiers, filters, and oscillators."
What law is represented by the formula $F = k \frac{q_1 q_2}{r^2}$?,"Coulomb's Law, which describes the electrostatic force between two charged particles."
"In a three-phase system, what is the phase difference between each of the voltage waveforms?",120 degrees.
What is the primary purpose of an induction motor's squirrel cage rotor?,"It is a simple, rugged rotor where the rotating magnetic field from the stator induces a current, creating torque without needing brushes or slip rings."
What is the function of a circuit breaker in an electrical panel?,It is an automatic safety switch that interrupts current flow in case of an overload or short circuit to protect the circuit and prevent fire.
The formula $T = 3 \frac{s E_0^2}{2\pi n (R_2^2 + [S.X_0]^2)}$ calculates what parameter in an AC machine?,Torque (T).
What is the definition of Young's Modulus in materials science?,"It is a measure of a material's stiffness, defined as the ratio of stress to strain in the elastic region."
"In digital logic, a(n) ____ gate produces a high output (1) only if all its inputs are high (1).",AND
What does 'psychometric testing' aim to measure in a career guidance context?,"It aims to objectively measure an individual's aptitudes, personality traits, and cognitive abilities to help align them with suitable career paths."
"In the context of electrical machines, what is the Hopkinson test used for?","It is a method for testing the efficiency of DC machines by coupling two identical machines together, minimizing power loss during the test."
What is the function of a commutator and brushes in a DC motor?,"They work together to reverse the direction of current in the armature coil every half rotation, ensuring continuous torque in one direction."
The formula $\text{Final Mark} = (0.4 \cdot \text{ICASS Mark}) + (0.6 \cdot \text{EISA Mark})$ is used to calculate what?,The final promotional mark for a NATED subject in South Africa.
What is the principle of a PID controller in an automated system?,"It continuously calculates an error value as the difference between a desired setpoint and a measured process variable and applies a correction based on Proportional, Integral, and Derivative terms."
What is the purpose of a rectifier in an AC/DC power supply?,"Its purpose is to convert alternating current (AC), which periodically reverses direction, to direct current (DC), which flows in only one direction."
"In a three-phase system, what is the difference between a star (wye) and a delta connection?","In a star connection, the ends of the three phases are connected to a common neutral point, whereas in a delta connection, the three phases are connected in series to form a closed loop."
